Date, Close/Last, Volume, Open, High, Low
10/18/2019, $236.41,24377170, $234.59, $237.58, $234.29
10/17/2019, $235.28,17272900, $235.09, $236.15, $233.52
10/16/2019, $234.37,19286690, $233.37, $235.24, $233.2
10/15/2019, $235.32,23040480, $236.39, $237.65, $234.88
10/14/2019, $235.87,24413480, $234.9, $238.1342, $234.6701
09/30/2019, $223.97,26318580, $220.9, $224.58, $220.79
09/27/2019, $218.82,25361290, $220.54, $220.96, $217.2814
09/26/2019, $219.89,19088310, $220, $220.94, $218.83
09/25/2019, $221.03,22481010, $218.55, $221.5, $217.1402
09/24/2019, $217.68,31434370, $221.03, $222.49, $217.19
09/23/2019, $218.72,19419650, $218.95, $219.84, $217.65
09/20/2019, $217.73,57977090, $221.38, $222.56, $217.473
09/19/2019, $220.96,22187880, $222.01, $223.76, $220.37
09/18/2019, $222.77,25643090, $221.06, $222.85, $219.44
09/17/2019, $220.7,18386470, $219.96, $220.82, $219.12
09/16/2019, $219.9,21158140, $217.73, $220.13, $217.56
09/13/2019, $218.75,39763300, $220, $220.79, $217.02
08/30/2019, $208.74,21162560, $210.16, $210.45, $207.2
08/29/2019, $209.01,21007650, $208.5, $209.32, $206.655
08/28/2019, $205.53,15957630, $204.1, $205.72, $203.32
08/27/2019, $204.16,25897340, $207.86, $208.55, $203.53
08/26/2019, $206.49,26066130, $205.86, $207.19, $205.0573
08/23/2019, $202.64,46882840, $209.43, $212.051, $201
08/22/2019, $212.46,22267820, $213.19, $214.435, $210.75
08/21/2019, $212.64,21564750, $212.99, $213.65, $211.6032
08/20/2019, $210.36,26919530, $210.88, $213.35, $210.32
08/19/2019, $210.35,24431920, $210.62, $212.7307, $210.025
08/16/2019, $206.5,28813620, $204.28, $207.16, $203.84
08/15/2019, $201.74,27883360, $203.46, $205.14, $199.67
08/14/2019, $202.75,36547440, $203.16, $206.44, $202.5869
08/13/2019, $208.97,47539790, $201.02, $212.14, $200.83
07/31/2019, $213.04,69281360, $216.42, $221.37, $211.3
07/30/2019, $208.78,33935720, $208.76, $210.16, $207.31
07/29/2019, $209.68,21673390, $208.46, $210.64, $208.44
07/26/2019, $207.74,17618870, $207.48, $209.73, $207.14
07/25/2019, $207.02,13909560, $208.89, $209.24, $206.73
07/24/2019, $208.67,14991570, $207.67, $209.15, $207.17
07/23/2019, $208.84,18355210, $208.46, $208.91, $207.29
07/22/2019, $207.22,22277930, $203.65, $207.23, $203.61
07/19/2019, $202.59,20929310, $205.79, $206.5, $202.36
07/18/2019, $205.66,18582160, $204, $205.88, $203.7
07/17/2019, $203.35,14107450, $204.05, $205.0915, $203.27
07/16/2019, $204.5,16866820, $204.59, $206.11, $203.5
07/15/2019, $205.21,16947420, $204.09, $205.87, $204
06/28/2019, $197.92,31110640, $198.68, $199.495, $197.05
06/27/2019, $199.74,20899720, $200.29, $201.57, $199.57
06/26/2019, $199.8,26067510, $197.77, $200.99, $197.35
06/25/2019, $195.57,21070330, $198.43, $199.26, $195.29
06/24/2019, $198.58,18220420, $198.54, $200.16, $198.17
06/21/2019, $198.78,47800590, $198.8, $200.85, $198.15
06/20/2019, $199.46,21513990, $200.37, $200.61, $198.03
06/19/2019, $197.87,21124240, $199.68, $199.88, $197.31
06/18/2019, $198.45,26551000, $196.05, $200.29, $195.21
06/17/2019, $193.89,14669140, $192.9, $194.96, $192.17
06/14/2019, $192.74,18761470, $191.545, $193.5863, $190.3
06/13/2019, $194.15,21674630, $194.7, $196.79, $193.6
05/31/2019, $175.07,27043580, $176.23, $177.99, $174.99
05/30/2019, $178.3,21218410, $177.95, $179.23, $176.67
05/29/2019, $177.38,28481170, $176.42, $179.35, $176
05/28/2019, $178.23,27948160, $178.92, $180.59, $177.91
05/24/2019, $178.97,23714690, $180.2, $182.14, $178.62
05/23/2019, $179.66,36529740, $179.8, $180.54, $177.81
05/22/2019, $182.78,29748560, $184.66, $185.71, $182.55
05/21/2019, $186.6,28364850, $185.22, $188, $184.7
05/20/2019, $183.09,38612290, $183.52, $184.349, $180.2839
05/17/2019, $189,32879090, $186.93, $190.9, $186.76
05/16/2019, $190.08,33031360, $189.91, $192.4689, $188.84
05/15/2019, $190.92,26544720, $186.27, $191.75, $186.02
05/14/2019, $188.66,36529680, $186.41, $189.7, $185.41
05/13/2019, $185.72,57430620, $187.71, $189.48, $182.85
04/30/2019, $200.67,45751160, $203.06, $203.4, $199.11
04/29/2019, $204.61,22010360, $204.4, $205.97, $203.86
04/26/2019, $204.3,18612770, $204.9, $205, $202.12
04/25/2019, $205.28,18463850, $206.83, $207.76, $205.12
04/24/2019, $207.16,17427570, $207.36, $208.48, $207.05
04/23/2019, $207.48,23286380, $204.43, $207.75, $203.9
04/22/2019, $204.53,17841920, $202.83, $204.94, $202.34
04/18/2019, $203.86,24185530, $203.12, $204.15, $202.52
04/17/2019, $203.13,28865310, $199.54, $203.38, $198.61
04/16/2019, $199.25,25668330, $199.46, $201.37, $198.56
04/15/2019, $199.23,17524150, $198.58, $199.85, $198.01
03/29/2019, $189.95,23524830, $189.83, $190.08, $188.54
03/28/2019, $188.72,20710390, $188.95, $189.559, $187.53
03/27/2019, $188.47,29771210, $188.75, $189.76, $186.55
03/26/2019, $186.79,49696100, $191.664, $192.88, $184.58
03/25/2019, $188.74,43751810, $191.51, $191.98, $186.6
03/22/2019, $191.05,42287640, $195.34, $197.69, $190.78
03/21/2019, $195.09,50943120, $190.02, $196.33, $189.81
03/20/2019, $188.16,31003380, $186.23, $189.49, $184.73
03/19/2019, $186.53,31440300, $188.35, $188.99, $185.92
03/18/2019, $188.02,26148590, $185.8, $188.39, $185.79
03/15/2019, $186.12,39017490, $184.85, $187.33, $183.74
03/14/2019, $183.73,23527660, $183.9, $184.1, $182.56
